v,imgt,species,
TCRAV18,TRAV18*01,human,
TCRAV19,TRAV19*01,human,
TCRAV02,TRAV2*01,human,
TCRAV20,TRAV20*01,human,
TCRAV21,TRAV21*01,human,
TCRAV22,TRAV22*01,human,
TCRAV24,TRAV24*01,human,
TCRAV25,TRAV25*01,human,
TCRAV26-01,TRAV26-1*01,human,
TCRAV26-02,TRAV26-2*01,human,
TCRAV27,TRAV27*01,human,
TCRAV03,TRAV3*01,human,
TCRAV30,TRAV30*01,human,
TCRAV34,TRAV34*01,human,
TCRAV35,TRAV35*01,human,
TCRAV38-01,TRAV38-1*01,human,
TCRAV39,TRAV39*01,human,
TCRAV04,TRAV4*01,human,
TCRAV40,TRAV40*01,human,
TCRAV41,TRAV41*01,human,
TCRAV05,TRAV5*01,human,
TCRAV06,TRAV6*01,human,
TCRAV07,TRAV7*01,human,
TCRAV08-01,TRAV8-1*01,human,
TCRAV08-02,TRAV8-2*01,human,
TCRAV08-03,TRAV8-3*01,human,
TCRAV08-04,TRAV8-4*01,human,
TCRAV08-06,TRAV8-6*01,human,
TCRAV08-07,TRAV8-7*01,human,
TCRAV09-01,TRAV9-1*01,human,
TCRAV09-02,TRAV9-2*01,human,
TCRBD01,TRBD1*01,human,
TCRBD02,TRBD2*01,human,
TCRBJ01-01,TRBJ1-1*01,human,
TCRBJ01-02,TRBJ1-2*01,human,
TCRBJ01-03,TRBJ1-3*01,human,
TCRBJ01-04,TRBJ1-4*01,human,
TCRBJ01-05,TRBJ1-5*01,human,
TCRBJ01-06,TRBJ1-6*01,human,
TCRBJ02-01,TRBJ2-1*01,human,
TRBV2-2,TRBV2*02,human,
TCRBJ02-02,TRBJ2-2*01,human,
TCRBJ02-03,TRBJ2-3*01,human,
TCRBJ02-04,TRBJ2-4*01,human,
TCRBJ02-05,TRBJ2-5*01,human,
TCRBJ02-06,TRBJ2-6*01,human,
TCRBJ02-07,TRBJ2-7*01,human,
TRBV1-1:01,TRBV1*01,human,
TRBV1-01,TRBV1*01,human,
TRBV1-1,TRBV1*01,human,
TRBV1,TRBV1*01,human,
TCRBV01,TRBV1*01,human,
TRBV1-2,TRBV1*01,human,
TRBV1-02,TRBV1*01,human,
TRBV1-4:01,TRBV1*01,human,
TRBV1-04,TRBV1*01,human,
TRBV1-05,TRBV1*01,human,
TRBV1-1*01,TRBV1*01,human,
TRBV10,TRBV10-1*01,human,
TRBV10-1,TRBV10-1*01,human,
TRBV10-01,TRBV10-1*01,human,
TCRBV10-01,TRBV10-1*01,human,
TRBV10-02,TRBV10-2*01,human,
TRBV10-2,TRBV10-2*01,human,
TCRBV10-02,TRBV10-2*01,human,
TRBV10-03*01,TRBV10-3*01,human,
TRBV10-3,TRBV10-3*01,human,
TRBV10-03,TRBV10-3*01,human,
TCRBV10-03,TRBV10-3*01,human,
TRBV11,TRBV11-1*01,human,
TRBV11-1,TRBV11-1*01,human,
TRBV11-01,TRBV11-1*01,human,
TCRBV11-01,TRBV11-1*01,human,
TRBV11-2,TRBV11-2*01,human,
TRBV11-02*02,TRBV11-2*01,human,
TRBV11-02,TRBV11-2*01,human,
TCRBV11-02,TRBV11-2*01,human,
TRBV11-03,TRBV11-3*01,human,
TRBV11-3,TRBV11-3*01,human,
TCRBV11-03,TRBV11-3*01,human,
TRBV12,TRBV12-1*01,human,
TRBV12-1,TRBV12-1*01,human,
TRBV12-01,TRBV12-1*01,human,
TCRBV12-01,TRBV12-1*01,human,
TCRBV12-02,TRBV12-2*01,human,
TRBV12-02,TRBV12-2*01,human,
TRBV12-2,TRBV12-2*01,human,
TRBV12-03,TRBV12-3*01,human,
TCRBV12-03,TRBV12-3*01,human,
TRBV12-3,TRBV12-3*01,human,
"TRBV12-3,12-4",TRBV12-3*01,human,
TRBV12-3/12-4,TRBV12-3*01,human,
TRBV12-03/4,TRBV12-3*01,human,
TRBV12-03/4 ,TRBV12-3*01,human,
TRBV12-3:01,TRBV12-3*01,human,
TRBV12-4,TRBV12-4*01,human,
TRBV12-04,TRBV12-4*01,human,
TCRBV12-04,TRBV12-4*01,human,
TRBV12-5,TRBV12-5*01,human,
TRBV12-05,TRBV12-5*01,human,
TCRBV12-05,TRBV12-5*01,human,
TRBV13-01,TRBV13*01,human,
TRBV13-1,TRBV13*01,human,
TRBV13-3,TRBV13*01,human,
TCRBV13-03,TRBV13*01,human,
TRBV13,TRBV13*01,human,
TRBV13-1*01,TRBV13*01,human,
TCRBV13,TRBV13*01,human,
TRBV13-2*01,TRBV13*02,human,
TRBV13-2,TRBV13*02,human,
TCRBV13-02,TRBV13*02,human,
TRBV13-1*02,TRBV13*02,human,
TRBV14,TRBV14*01,human,
TRBV14:01,TRBV14*01,human,
TRBV14-01,TRBV14*01,human,
TRBV14-1,TRBV14*01,human,
TCRBV14-1,TRBV14*01,human,
TRBV14-1*01,TRBV14*01,human,
TCRBV14,TRBV14*01,human,
TRBV15,TRBV15*01,human,
TRBV15-01,TRBV15*01,human,
TCRBV15,TRBV15*01,human,
TRBV15-1,TRBV15*01,human,
TRBV15-01*01,TRBV15*01,human,
TRBV15-1*01,TRBV15*01,human,
TRBV15-02,TRBV15*02,human,
TCRBV16-1,TRBV16*01,human,
TRBV16-1,TRBV16*01,human,
TRBV16,TRBV16*01,human,
TCRBV16,TRBV16*01,human,
TRBV16-03,TRBV16*03,human,
TCRBV17,TRBV17*01,human,
TRBV17,TRBV17*01,human,
TRBV17-1*01,TRBV17*01,human,
TCRB17-1,TRBV17*01,human,
TRBV17:01,TRBV17*01,human,
TRBV18,TRBV18*01,human,
TRBV18-1,TRBV18*01,human,
TRBV18-1*01,TRBV18*01,human,
TRBV18-01,TRBV18*01,human,
TCRBV18,TRBV18*01,human,
TRBV19:01,TRBV19*01,human,
TRBV19-01,TRBV19*01,human,
TRBV19-1,TRBV19*01,human,
TRBV19,TRBV19*01,human,
TCRBV19,TRBV19*01,human,
TRBV19:02,TRBV19*02,human,
TCRBV02,TRBV2*01,human,
TRBV2-01,TRBV2*01,human,
"TRBV2-1,",TRBV2*01,human,
TRBV2-1/TRBV2-2/TRBV2-3,TRBV2*01,human,
TRBV2-1/TRBV2-2,TRBV2*01,human,
TRBV2-1/TRBV2-3,TRBV2*01,human,
TRBV2-1*01,TRBV2*01,human,
TRBV2-1,TRBV2*01,human,
TRBV02,TRBV2*01,human,
TRBV04,TRBV2*01,human,
TRBV-2,TRBV2*01,human,
TRBV2-1:01,TRBV2*01,human,
TRBV2,TRBV2*01,human,
TRBV2-2:01,TRBV2*02,human,
TRBV2-6:01,TRBV2*01,human,
TRBV2-7:01,TRBV2*01,human,
TRBV20,TRBV20-1*01,human,
TRBV20-1,TRBV20-1*01,human,
TRBV20-01,TRBV20-1*01,human,
TCRBV20-01,TRBV20-1*01,human,
TRBV21-1,TRBV21-1*01,human,
TRBV21,TRBV21-1*01,human,
TRBV21-01,TRBV21-1*01,human,
TCRBV21-01,TRBV21-1*01,human,
TRBV22:01,TRBV22-1*01,human,
TRBV23,TRBV23-1*01,human,
TRBV23/DV6:01,TRBV23-1*01,human,
TRBV23-1,TRBV23-1*01,human,
TRBV23-01,TRBV23-1*01,human,
TCRBV23-01,TRBV23-1*01,human,
TRBV24,TRBV24-1*01,human,
TRBV24-1,TRBV24-1*01,human,
TCRBV24-01,TRBV24-1*01,human,
TRBV24-01,TRBV24-1*01,human,
TRBV25,TRBV25-1*01,human,
TRBV25-1,TRBV25-1*01,human,
TRBV25-01,TRBV25-1*01,human,
TRBV25:01,TRBV25-1*01,human,
TCRBV25-01,TRBV25-1*01,human,
TRBV26,TRBV26*01,human,
TCRBV26,TRBV26*01,human,
TRBV26-1:01,TRBV26*01,human,
TRBV26-2:01,TRBV26*01,human,
TRBV26-1*01,TRBV26*01,human,
TRBV26-1:03,TRBV26*01,human,
TRBV26-1,TRBV26*01,human,
TRBV27-1,TRBV27*01,human,
TRBV27,TRBV27*01,human,
TRBV27-1*01,TRBV27*01,human,
TRBV27:01,TRBV27*01,human,
TCRBV27,TRBV27*01,human,
TRBV28-1,TRBV28*01,human,
TRBV28-1*01,TRBV28*01,human,
TRBV28,TRBV28*01,human,
TRBV28-01*01,TRBV28*01,human,
TRBV28:01,TRBV28*01,human,
TRBV28-01,TRBV28*01,human,
TCRBV28,TRBV28*01,human,
TRBV29,TRBV29-1*01,human,
TRBV29-01,TRBV29-1*01,human,
TRBV29-1:01,TRBV29-1*01,human,
TRBV29-1,TRBV29-1*01,human,
TCRBV29-01,TRBV29-1*01,human,
TRBV29-1:01,TRBV29-1*01,human,
TRBV29/DV5:01,TRBV29-1*01,human,
TRBV3-1:01,TRBV3-1*01,human,
TRBV-3,TRBV3-1*01,human,
TRBV03,TRBV3-1*01,human,
TRBV3-1/03-2,TRBV3-1*01,human,
TRBV3-1/3-2,TRBV3-1*01,human,
TRBV3,TRBV3-1*01,human,
TRBV3:01,TRBV3-1*01,human,
TRBV3-1,TRBV3-1*01,human,
TRBV3-01,TRBV3-1*01,human,
TCRBV03-01,TRBV3-1*01,human,
TRBV3-2,TRBV3-2*01,human,
TCRBV03-02,TRBV3-2*01,human,
TRBV30-01*01,TRBV30*01,human,
TRBV30-1*01,TRBV30*01,human,
TRBV30-01,TRBV30*01,human,
TRBV30-1,TRBV30*01,human,
TRBV30,TRBV30*01,human,
TCRBV30,TRBV30*01,human,
TRBV30-05,TRBV30*05,human,
TRAV36*01,TRAV36/DV7*01,human,
TRBV-4,TRBV4-1*01,human,
TRBV4,TRBV4-1*01,human,
TRBV4:01,TRBV4-1*01,human,
TRBV4-01,TRBV4-1*01,human,
TRBV04-01*01,TRBV4-1*01,human,
TRBV4*01,TRBV4-1*01,human,
TRBV4-1,TRBV4-1*01,human,
TCRBV04-01,TRBV4-1*01,human,
TCRBV04-02,TRBV4-2*01,human,
TRBV4-02,TRBV4-2*01,human,
TRBV4-2:01,TRBV4-2*01,human,
TRBV4-2,TRBV4-2*01,human,
TRBV4-3:01,TRBV4-3*01,human,
TRBV4-3,TRBV4-3*01,human,
TRBV4-03,TRBV4-3*01,human,
TRBV04-03*01,TRBV4-3*01,human,
TCRBV04-03,TRBV4-3*01,human,
TCRBV05-01,TRBV5-1*01,human,
TRBV5-01,TRBV5-1*01,human,
TRBV05,TRBV5-1*01,human,
TRBV-5,TRBV5-1*01,human,
TRBV5,TRBV5-1*01,human,
TRBV05-01*01,TRBV5-1*01,human,
TRBV5-1,TRBV5-1*01,human,
TRBV5-3,TRBV5-3*01,human,
TRBV5-02,TRBV5-1*02,human,
TRBV5-2*01,TRBV5-1*02,human,
TCRBV05-03,TRBV5-3*01,human,
TRBV05-04*01,TRBV5-4*01,human,
TRBV5-04,TRBV5-4*01,human,
TCRBV05-04,TRBV5-4*01,human,
TRBV5-4,TRBV5-4*01,human,
TRBV5-05,TRBV5-5*01,human,
TRBV5-5:01,TRBV5-5*01,human,
TRBV5-5,TRBV5-5*01,human,
TCRBV05-05,TRBV5-5*01,human,
TRBV05-06*01,TRBV5-6*01,human,
TRBV5-6:01,TRBV5-6*01,human,
TRBV5-6,TRBV5-6*01,human,
TRBV5-06,TRBV5-6*01,human,
TRBV5-6:01,TRBV5-6*01,human,
TCRBV05-06,TRBV5-6*01,human,
TCRBV5-6,TRBV5-6*01,human,
TRBV5-7,TRBV5-7*01,human,
TRBV5-07,TRBV5-7*01,human,
TCRBV05-07,TRBV5-7*01,human,
TRBV5-08,TRBV5-8*01,human,
TRBV5-8,TRBV5-8*01,human,
TRBV5-8:01,TRBV5-8*01,human,
TCRBV05-08,TRBV5-8*01,human,
TRBV6-1:01,TRBV6-1*01,human,
TRBV-6,TRBV6-1*01,human,
TRBV6,TRBV6-1*01,human,
TRBV06,TRBV6-1*01,human,
TRBV6-01,TRBV6-1*01,human,
TRBV6-1,TRBV6-1*01,human,
TRBV6-1/6-5/6-6,TRBV6-1*01,human,
TCRBV06-01,TRBV6-1*01,human,
TRBV6-02/6-03,TRBV6-2*01,human,
TRBV6-02/TRBV6-03,TRBV6-2*01,human,
TRBV6-2/06-3,TRBV6-2*01,human,
TRBV6-2:01,TRBV6-2*01,human,
TRBV6-02,TRBV6-2*01,human,
TRBV6-2,TRBV6-2*01,human,
TCRBV06-02,TRBV6-2*01,human,
TRBV 6-2*01/TRBV6-3*01,TRBV6-2*01,human,
"TRBV6-2,6-3",TRBV6-2*01,human,
TRBV6-02/3,TRBV6-2*01,human,
TRBV6-2/6-3,TRBV6-2*01,human,
TRBV6-03,TRBV6-3*01,human,
TRBV6-3,TRBV6-3*01,human,
TCRBV6-3,TRBV6-3*01,human,
TCRBV06-03,TRBV6-3*01,human,
TRBV6-4,TRBV6-4*01,human,
TRBV6-04,TRBV6-4*01,human,
TCRBV06-04,TRBV6-4*01,human,
TRBV6-05,TRBV6-5*01,human,
TRBV6-5,TRBV6-5*01,human,
TRBV6-5:01,TRBV6-5*01,human,
TRBV06-05,TRBV6-5*01,human,
TCRBV06-05,TRBV6-5*01,human,
TRBV6-6:01,TRBV6-6*01,human,
TRBV6-06,TRBV6-6*01,human,
TRBV6-6,TRBV6-6*01,human,
TCRBV06-06,TRBV6-6*01,human,
TRBV6-7,TRBV6-7*01,human,
TRBV6-07,TRBV6-7*01,human,
TCRBV06-07,TRBV6-7*01,human,
TRBV6-8,TRBV6-8*01,human,
TCRBV06-08,TRBV6-8*01,human,
TRBV6-9,TRBV6-9*01,human,
TRBV6-09,TRBV6-9*01,human,
TCRBV06-09,TRBV6-9*01,human,
TRBV7-1,TRBV7-1*01,human,
TRBV-7,TRBV7-1*01,human,
TRBV07,TRBV7-1*01,human,
TRBV7,TRBV7-1*01,human,
TCRBV07-01,TRBV7-1*01,human,
TRBV07-02*01,TRBV7-2*01,human,
TRBV7-2,TRBV7-2*01,human,
TRBV7-2*,TRBV7-2*01,human,
TRBV7-02,TRBV7-2*01,human,
TCRBV07-02,TRBV7-2*01,human,
TRBV7-3,TRBV7-3*01,human,
TRBV7-03,TRBV7-3*01,human,
TRBV7-3:01,TRBV7-3*01,human,
TCRBV07-03,TRBV7-3*01,human,
TRBV7-04,TRBV7-4*01,human,
TRBV7-4,TRBV7-4*01,human,
TCRBV07-04,TRBV7-4*01,human,
TRBV7-5*01,TRBV7-6*01,human,closest match
TRBV7-5,TRBV7-6*01,human,closest match
TRBV7-6,TRBV7-6*01,human,
TRBV7-06,TRBV7-6*01,human,
TCRBV07-06,TRBV7-6*01,human,
TRBV7-07,TRBV7-7*01,human,
TRBV7-7,TRBV7-7*01,human,
TCRBV07-07,TRBV7-7*01,human,
TRBV7-8:01,TRBV7-8*01,human,
TRBV7-8,TRBV7-8*01,human,
TRBV7-08,TRBV7-8*01,human,
TCRBV07-08,TRBV7-8*01,human,
TRBV07-09,TRBV7-9*01,human,
TRBV7-9,TRBV7-9*01,human,
TRBV7-09,TRBV7-9*01,human,
TCRBV07-09,TRBV7-9*01,human,
TRBV09-01,TRBV9*01,human,
TRBV9-1,TRBV9*01,human,
TRBV-9,TRBV9*01,human,
TRBV09,TRBV9*01,human,
TRBV9,TRBV9*01,human,
TRBV9-01,TRBV9*01,human,
TCRBV09,TRBV9*01,human,
TRBV9-02*01,TRBV9*02,human,
TRBV9-03,TRBV9*03,human,
TCRBV12-3,TRBV12-3*01,human,
TRBV15,TRBV15*01,human,
TCRDD01,TRDD1*01,human,
TCRDD02,TRDD2*01,human,
TCRDD03,TRDD3*01,human,
TCRDJ01,TRDJ1*01,human,
TCRDJ02,TRDJ2*01,human,
TCRDJ03,TRDJ3*01,human,
TCRDJ04,TRDJ4*01,human,
TCRDV01,TRDV1*01,human,
TCRDV02,TRDV2*01,human,
TCRDV03,TRDV3*01,human,
TCRGJ01,TRGJ1*01,human,
TCRGJ02,TRGJ2*01,human,
TCRGV01,TRGV1*01,human,
TCRGV10,TRGV10*01,human,
TCRGV11,TRGV11*01,human,
TCRGV02,TRGV2*01,human,
TCRGV03,TRGV3*01,human,
TCRGV04,TRGV4*01,human,
TCRGV05,TRGV5*01,human,
TCRGV08,TRGV8*01,human,
TCRGV09,TRGV9*01,human,
TCRAV01-X,TRAV1-1*01,human,
TCRAV12-X,TRAV12-1*01,human,
TCRAV13-X,TRAV13-1*01,human,
TCRAV26-X,TRAV26-1*01,human,
TCRAV38-X,TRAV38-1*01,human,
TCRAV08-X,TRAV8-1*01,human,
TCRAV09-X,TRAV9-1*01,human,
TCRBJ01-X,TRBJ1-1*01,human,
TCRBJ02-X,TRBJ2-1*01,human,
TCRBV10-X,TRBV10-1*01,human,
TCRBV11-X,TRBV11-1*01,human,
TCRBV12-X,TRBV12-1*01,human,
TCRBV20-X,TRBV20-1*01,human,
TCRBV21-X,TRBV21-1*01,human,
TCRBV23-X,TRBV23-1*01,human,
TCRBV24-X,TRBV24-1*01,human,
TCRBV25-X,TRBV25-1*01,human,
TCRBV29-X,TRBV29-1*01,human,
TCRBV03-X,TRBV3-1*01,human,
TCRBV04-X,TRBV4-1*01,human,
TCRBV05-X,TRBV5-1*01,human,
TCRBV06-X,TRBV6-1*01,human,
TCRBV07-X,TRBV7-1*01,human,
TRA1-2,TRAV1-2*01,human,
TRAV1-01,TRAV1-1*01,human,
TRAV1,TRAV1-1*01,human,
TRAV1-1,TRAV1-1*01,human,
TRAV1-2,TRAV1-2*01,human,
TRAV1-4,TRAV1-1*01,human,
TRAV-2,TRAV2*01,human,
TRAV2-1*01,TRAV2*01,human,
TRAV2,TRAV2*01,human,
TRAV2-2,TRAV2*02,human,
TRAV2-3,TRAV2*01,human,
TRAV3,TRAV3*01,human,
TRAV3:01,TRAV3*01,human,
TRAV3-1,TRAV3*01,human,
TRAV35,TRAV35*01,human,
TRAV4N-4*01,TRAV4*01,human,
TRAV4,TRAV4*01,human,
TRAV4-1,TRAV4*01,human,
TRAV5-1,TRAV5*01,human,
TRAV5,TRAV5*01,human,
TRAV6,TRAV6*01,human,
TRAV7S2,TRAV7*01,human,
TRAV7,TRAV7*01,human,
TRAV8S2,TRAV8-1*01,human,
TRAV8-1,TRAV8-1*01,human,
TRAV8,TRAV8-1*01,human,
TRAV8-2/8-4,TRAV8-2*01,human,
TRAV08-2,TRAV8-2*01,human,
TRAV8-2,TRAV8-2*01,human,
TRAV8-4,TRAV8-4*01,human,
TRAV8-2:01,TRAV8-2*01,human,
TRAV8-3,TRAV8-3*01,human,
TRAV8-6,TRAV8-6*01,human,
TRAV9,TRAV9-2*01,human,
TRAV09-2,TRAV9-2*01,human,
TRAV9-2,TRAV9-2*01,human,
TRAV9-1,TRAV9-1*01,human,
TRAV9-5,TRAV9-1*01,human,
TRAV10,TRAV10*01,human,
TRAV11,TRAV11*01,human,
TRAV12,TRAV12-1*01,human,
TRAV12-1,TRAV12-1*01,human,
TRAV12-01,TRAV12-1*01,human,
TRAV12-2,TRAV12-2*01,human,
TRAV12-3,TRAV12-3*01,human,
TRAV13-1,TRAV13-1*01,human,
TRAV13-01,TRAV13-1*01,human,
TRAV13,TRAV13-1*01,human,
TRAV13-2,TRAV13-2*01,human,
TRAV14-01,TRAV14/DV4*01,human,
TRAV14,TRAV14/DV4*01,human,
TRAV14-1*01,TRAV14/DV4*01,human,
TRAV14-1,TRAV14/DV4*01,human,
TRAV14-9,TRAV14/DV4*01,human,
TRAV14-3,TRAV14/DV4*01,human,
TRAV14-15,TRAV14/DV4*01,human,
TRAV14-19,TRAV14/DV4*01,human,
TRAV14-10,TRAV14/DV4*01,human,
TRAV14-2,TRAV14/DV4*02,human,
TRAV14/DV4,TRAV14/DV4*01,human,
TRAV16,TRAV16*01,human,
TRAV17,TRAV17*01,human,
TRAV17-1*01,TRAV17*01,human,
TRAV18,TRAV18*01,human,
TRAV19,TRAV19*01,human,
TRAV19-01*01,TRAV19*01,human,
TRAV20-01,TRAV20*01,human,
TRAV20-1,TRAV20*01,human,
TRAV20,TRAV20*01,human,
TRAV21,TRAV21*01,human,
TRAV21-01,TRAV21*01,human,
TRAV21-1,TRAV21*01,human,
TRAV21-2,TRAV21*02,human,
TRAV22,TRAV22*01,human,
TRAV23,TRAV23/DV6*01,human,
TRAV23/DV6,TRAV23/DV6*01,human,
TRAV24-1,TRAV24*01,human,
TRAV24-01*01,TRAV24*01,human,
TRAV24:01,TRAV24*01,human,
TRAV24:02,TRAV24*01,human,
TRAV24:01/TRAV24:02,TRAV24*01,human,
TRAV24,TRAV24*01,human,
"TRAV24:01,",TRAV24*01,human,
TRAV25-01*01,TRAV25*01,human,
TRAV25 F,TRAV25*01,human,
TRAV25,TRAV25*01,human,
TRAV25:01,TRAV25*01,human,
TRAV251,TRAV25*01,human,
TRAV26-1,TRAV26-1*01,human,
TRAV26,TRAV26-1*01,human,
TRAV26-01,TRAV26-1*01,human,
TRAV26-2,TRAV26-2*01,human,
TRAV27,TRAV27*01,human,
TRAV27-01*01,TRAV27*01,human,
TRAV29/DV5,TRAV29/DV5*01,human,
TRAV29,TRAV29/DV5*01,human,
TRAV29*01,TRAV29/DV5*01,human,
TRAV29-01,TRAV29/DV5*01,human,
TRAV30,TRAV30*01,human,
TRAV34,TRAV34*01,human,
TRAV35-1,TRAV35*01,human,
36/DV7*01,TRAV36/DV7*01,human,
TRAV36,TRAV36/DV7*01,human,
TRAV36/DV7,TRAV36/DV7*01,human,
TRAV38-1,TRAV38-1*01,human,
TRAV38,TRAV38-1*01,human,
TRAV38-2,TRAV38-2/DV8*01,human,
TRAV38-2/DV8,TRAV38-2/DV8*01,human,
TRAV38-2/DV8-1,TRAV38-2/DV8*01,human,
TRAV38-2*01,TRAV38-2/DV8*01,human,
TRAV39,TRAV39*01,human,
TRAV39-01*01,TRAV39*01,human,
TRAV40,TRAV40*01,human,
TRAV41,TRAV41*01,human,
TRAV41 F,TRAV41*01,human,
TRAV41:01,TRAV41*01,human,
TCRAJ01-01,TRAJ1*01,human,
TCRAJ10-01,TRAJ10*01,human,
TCRAJ11-01,TRAJ11*01,human,
TCRAJ12-01,TRAJ12*01,human,
TCRAJ13-01,TRAJ13*01,human,
TCRAJ14-01,TRAJ14*01,human,
TCRAJ15-01,TRAJ15*01,human,
TCRAJ16-01,TRAJ16*01,human,
TCRAJ17-01,TRAJ17*01,human,
TCRAJ18-01,TRAJ18*01,human,
TCRAJ19-01,TRAJ19*01,human,
TCRAJ02-01,TRAJ2*01,human,
TCRAJ20-01,TRAJ20*01,human,
TCRAJ21-01,TRAJ21*01,human,
TCRAJ22-01,TRAJ22*01,human,
TCRAJ23-01,TRAJ23*01,human,
TCRAJ24-01,TRAJ24*01,human,
TCRAJ25-01,TRAJ25*01,human,
TCRAJ26-01,TRAJ26*01,human,
TCRAJ27-01,TRAJ27*01,human,
TCRAJ28-01,TRAJ28*01,human,
TCRAJ29-01,TRAJ29*01,human,
TCRAJ03-01,TRAJ3*01,human,
TCRAJ30-01,TRAJ30*01,human,
TCRAJ31-01,TRAJ31*01,human,
TCRAJ32-01,TRAJ32*01,human,
TCRAJ33-01,TRAJ33*01,human,
TCRAJ34-01,TRAJ34*01,human,
TCRAJ35-01,TRAJ35*01,human,
TCRAJ36-01,TRAJ36*01,human,
TCRAJ37-01,TRAJ37*01,human,
TCRAJ38-01,TRAJ38*01,human,
TCRAJ39-01,TRAJ39*01,human,
TCRAJ04-01,TRAJ4*01,human,
TCRAJ40-01,TRAJ40*01,human,
TCRAJ41-01,TRAJ41*01,human,
TCRAJ42-01,TRAJ42*01,human,
TCRAJ43-01,TRAJ43*01,human,
TCRAJ44-01,TRAJ44*01,human,
TCRAJ45-01,TRAJ45*01,human,
TCRAJ46-01,TRAJ46*01,human,
TCRAJ47-01,TRAJ47*01,human,
TCRAJ48-01,TRAJ48*01,human,
TCRAJ49-01,TRAJ49*01,human,
TCRAJ05-01,TRAJ5*01,human,
TCRAJ50-01,TRAJ50*01,human,
TCRAJ51-01,TRAJ51*01,human,
TCRAJ52-01,TRAJ52*01,human,
TCRAJ53-01,TRAJ53*01,human,
TCRAJ54-01,TRAJ54*01,human,
TCRAJ55-01,TRAJ55*01,human,
TCRAJ56-01,TRAJ56*01,human,
TCRAJ57-01,TRAJ57*01,human,
TCRAJ58-01,TRAJ58*01,human,
TCRAJ59-01,TRAJ59*01,human,
TCRAJ06-01,TRAJ6*01,human,
TCRAJ60-01,TRAJ60*01,human,
TCRAJ61-01,TRAJ61*01,human,
TCRAJ07-01,TRAJ7*01,human,
TCRAJ08-01,TRAJ8*01,human,
TCRAJ09-01,TRAJ9*01,human,
TCRAV10-01,TRAV10*01,human,
TCRAV11-01,TRAV11*01,human,
TCRAV16-01,TRAV16*01,human,
TCRAV17-01,TRAV17*01,human,
